REG,URB,HHID,RESP_LNO,Q5_TECHVOC,Q5_TECHVOC_COURSE,Q5_SPECIFY_COURSE,Q6_TESDA_CERT,Q15A_ARTS,Q15B_SCIENCE,Q15C_BUSINESS,Q20_ACTIVITY,Q21_KNOWLEDGE,C5_AGE_RT04,C12_HEA_RT04,C4_SEX_RT04,C14_ATTEND_SCHOOL_RT04
14,2,44961,1,2,,,2,2,3,5,2,1,28,24015,1,4
17,1,51573,5,2,,,2,2,3,5,2,1,18,24013,1,1
17,1,53249,1,2,,,1,2,3,5,1,1,29,24015,1,4
17,1,53271,2,1,41011,HOUSEKEEPING,2,2,3,5,2,1,21,24015,2,4
3,1,7339,1,2,,,2,1,3,5,1,1,20,24015,1,4
6,2,14098,3,2,,,2,1,3,5,1,1,29,24015,1,4
6,1,15264,2,2,,,2,1,3,5,1,1,27,60411,2,4
6,2,15904,2,2,,,2,1,3,5,1,1,25,10018,2,4
7,1,17277,4,2,,,1,1,3,5,1,1,28,61013,2,4
7,1,18163,1,1,41013,NCII HOUSEKEEPING,1,1,3,5,1,1,20,24015,2,4
7,1,18392,1,2,,,2,1,3,5,2,1,25,60413,2,4
7,1,18724,1,2,,,2,1,3,5,1,1,24,24015,2,4
7,1,19091,2,1,41012,COSMETOLOGY,1,1,3,5,2,1,23,24015,2,4
12,1,32319,1,2,,,2,1,3,5,1,1,23,60111,1,4
13,1,36042,3,2,,,2,1,3,5,1,1,18,24013,1,4
13,1,39875,2,2,,,2,1,3,5,1,1,24,61013,1,4
13,1,40979,1,2,,,2,1,3,5,1,1,19,10018,1,4
13,1,41476,1,2,,,2,1,3,5,1,1,30,24015,2,4
13,1,42187,4,2,,,2,1,3,5,1,1,30,24015,1,4
14,2,45668,2,1,40611,COMPUTER TECHNICIAN,1,1,3,5,1,1,23,60003,1,4
16,2,49558,2,2,,,2,1,3,5,1,1,30,24015,2,4
17,1,53003,1,2,,,2,1,3,5,2,1,22,0,1,4
2,2,3453,3,2,,,2,4,2,5,1,1,26,24012,1,4
4,1,9148,1,2,,,2,4,2,5,2,1,25,24015,2,4
4,1,10918,2,2,,,2,4,2,5,2,1,24,60213,2,4
13,1,39762,3,2,,,2,4,2,5,2,1,27,60119,2,4
13,1,41304,2,2,,,2,4,2,5,2,1,27,60412,1,4
16,2,49558,1,2,,,2,4,2,5,1,1,28,24015,1,4
3,1,5687,2,2,,,2,3,2,5,1,1,25,60411,2,4
3,1,6972,1,2,,,2,3,2,5,1,1,30,24015,1,4
4,1,8890,2,2,,,1,3,2,5,1,1,24,24015,1,4
4,2,10555,2,2,,,2,3,2,5,1,1,30,24013,1,4
5,2,11328,4,2,,,2,3,2,5,1,1,17,24014,1,4
5,2,11986,3,2,,,2,3,2,5,1,1,29,60713,1,4
6,1,15264,3,2,,,2,3,2,5,1,1,24,60001,1,4
